Original Language,Original Title,Overview,Popularity,Poster Path,Release Date,Title,Video,Vote Average,Vote Count
en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",502.086,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,2022-12-07,Puss in Boots: The Last Wish,FALSE,8.3,5832
en,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",481.482,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,Spider-Man: Into the Spider-Verse,FALSE,8.4,13337
en,Creed III,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",471.009,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,2023-03-01,Creed III,FALSE,7.2,1690
en,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",433.211,/5xeNPGbM8ImVdJACUoGpXT8Pxx3.jpg,2023-06-15,No Hard Feelings,FALSE,6.4,77
en,Shadow Master,"After being slain by a group of criminals, a man is reborn with animal-like superpowers and makes it his mission to right the wrongs of his city.",699.268,/67ZsRKbItt6B1yHlsJKgfPWOyuJ.jpg,2022-11-03,Shadow Master,FALSE,7,43
en,Operation Seawolf,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining U-Boats were formed together for one desperate last mission – a mission to attack the United States Homeland, known as Operation Seawolf. Captain Hans Kessler, a grizzled submarine commander from both World Wars, is called into service to make one mission a success and help turn the tide of the war.",350.025,/eqm5EAyC9hJCN5qutuW4Ka1xYbU.jpg,2022-10-07,Operation Seawolf,FALSE,6,61
en,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",408.469,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,2014-10-15,Fury,FALSE,7.5,10817
en,Accident Man: Hitman's Holiday,"The Accident Man is back, and this time he must best the top assassins in the world to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure.",372.062,/npW9nfL7F3ZVpaCpabqo98KTLw6.jpg,2022-10-14,Accident Man: Hitman's Holiday,FALSE,6.5,86
en,Extraction,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.",345.242,/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg,2020-04-24,Extraction,FALSE,7.3,5217
en,The Three Musketeers,"France is in turmoil and a new, naive King finds himself manipulated by the evil Cardinal Richelieu. With a corrupt commander of the royal guard by his side the Cardinal employs the expertise of the devious and wicked Milady de Winter in a plot to bring down the monarchy and drag the country into war. As France burns the Cardinal will take control. All that stands between them and victory are the remnants of an elite group who wore loyalty to crown and country. Above all else The Musketeers will stand against the odds to foil this deadly plot.",298.768,/l72yy6rPzsH8eHhEOknxlipkV95.jpg,2023-03-23,The Three Musketeers,FALSE,5.6,42
en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",369.39,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,Spider-Man: No Way Home,FALSE,8,17687
en,The Tank,"In 1978 Oregon, Ben and Jules inherit an abandoned coastal property from Ben's late mother, who's never mentioned it. The untouched house has been kept a secret for 40 years and comes with a beautiful private cove and beach. Jules searches for answers while Ben unwittingly awakens a fiercely protective creature.",291.577,/2VxEtwgzOUukatl2IKGn4borpgE.jpg,2023-04-21,The Tank,FALSE,5.1,37
es,A través de mi ventana,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",329.093,/6gg7fvKc1ZxP9yCczweSxIGYp4S.jpg,2022-02-04,Through My Window,FALSE,7.4,2672
en,Ghosted,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",340.796,/liLN69YgoovHVgmlHJ876PKi5Yi.jpg,2023-04-18,Ghosted,FALSE,7.1,1033
zh,流浪地球2,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",311.255,/pR858ihc6Ls9xohpdRJVjV787ml.jpg,2023-01-22,The Wandering Earth II,FALSE,7.2,274
en,Scream VI,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",315.504,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,2023-03-08,Scream VI,FALSE,7.2,1418
